Price,Close,High,Low,Open,Volume
Ticker,NDX,NDX,NDX,NDX,NDX
Date,,,,,
2020-12-04,12528.48046875,12528.48046875,12528.48046875,12528.48046875,0
2020-12-07,12596.4697265625,12596.4697265625,12596.4697265625,12596.4697265625,0
2020-12-08,12635.7197265625,12635.7197265625,12635.7197265625,12635.7197265625,0
2020-12-09,12364.6396484375,12364.6396484375,12364.6396484375,12364.6396484375,0
2020-12-10,12401.740234375,12401.740234375,12401.740234375,12401.740234375,0
2020-12-11,12375.41015625,12375.41015625,12375.41015625,12375.41015625,0
2020-12-14,12462.2099609375,12462.2099609375,12462.2099609375,12462.2099609375,0
2020-12-15,12595.919921875,12595.919921875,12595.919921875,12595.919921875,0
2020-12-16,12668.16015625,12668.16015625,12668.16015625,12668.16015625,0
2020-12-17,12752.0595703125,12752.0595703125,12752.0595703125,12752.0595703125,0
2020-12-18,12738.1796875,12738.1796875,12738.1796875,12738.1796875,0
2020-12-21,12690.259765625,12690.259765625,12690.259765625,12690.259765625,0
2020-12-22,12717.5595703125,12717.5595703125,12717.5595703125,12717.5595703125,0
2020-12-24,12711.009765625,12711.009765625,12711.009765625,12711.009765625,0
2020-12-28,12838.8603515625,12838.8603515625,12838.8603515625,12838.8603515625,0
2020-12-29,12843.490234375,12843.490234375,12843.490234375,12843.490234375,0
2020-12-30,12845.3603515625,12845.3603515625,12845.3603515625,12845.3603515625,0
2020-12-31,12888.2802734375,12888.2802734375,12888.2802734375,12888.2802734375,0
2021-01-04,12694.66015625,12694.66015625,12694.66015625,12694.66015625,0
2021-01-05,12802.3798828125,12802.3798828125,12802.3798828125,12802.3798828125,0
2021-01-06,12623.349609375,12623.349609375,12623.349609375,12623.349609375,0
2021-01-07,12939.5703125,12939.5703125,12939.5703125,12939.5703125,0
2021-01-08,13105.2001953125,13105.2001953125,13105.2001953125,13105.2001953125,0
2021-01-11,12902.490234375,12902.490234375,12902.490234375,12902.490234375,0
2021-01-12,12892.08984375,12892.08984375,12892.08984375,12892.08984375,0
2021-01-13,12973.6298828125,12973.6298828125,12973.6298828125,12973.6298828125,0
2021-01-14,12898.6904296875,12898.6904296875,12898.6904296875,12898.6904296875,0
2021-01-15,12803.9296875,12803.9296875,12803.9296875,12803.9296875,0
2021-01-19,12996.5400390625,12996.5400390625,12996.5400390625,12996.5400390625,0
2021-01-20,13296.4501953125,13296.4501953125,13296.4501953125,13296.4501953125,0
2021-01-21,13404.990234375,13404.990234375,13404.990234375,13404.990234375,0
2021-01-22,13366.400390625,13366.400390625,13366.400390625,13366.400390625,0
2021-01-25,13483.2900390625,13483.2900390625,13483.2900390625,13483.2900390625,0
2021-01-26,13490.1904296875,13490.1904296875,13490.1904296875,13490.1904296875,0
2021-01-27,13112.650390625,13112.650390625,13112.650390625,13112.650390625,0
2021-01-28,13201.5302734375,13201.5302734375,13201.5302734375,13201.5302734375,0
2021-01-29,12925.3798828125,12925.3798828125,12925.3798828125,12925.3798828125,0
2021-02-01,13248.900390625,13248.900390625,13248.900390625,13248.900390625,0
2021-02-02,13456.1201171875,13456.1201171875,13456.1201171875,13456.1201171875,0
2021-02-03,13402.3701171875,13402.3701171875,13402.3701171875,13402.3701171875,0
2021-02-04,13560.8896484375,13560.8896484375,13560.8896484375,13560.8896484375,0
